DATE,DTB3
2022-11-29,4.27
2022-11-30,4.27
2022-12-01,4.22
2022-12-02,4.22
2022-12-05,4.27
2022-12-06,4.27
2022-12-07,4.20
2022-12-08,4.17
2022-12-09,4.19
2022-12-12,4.29
2022-12-13,4.26
2022-12-14,4.23
2022-12-15,4.22
2022-12-16,4.20
2022-12-19,4.28
2022-12-20,4.25
2022-12-21,4.22
2022-12-22,4.24
2022-12-23,4.23
2022-12-26,.
2022-12-27,4.35
2022-12-28,4.35
2022-12-29,4.34
2022-12-30,4.30
2023-01-02,.
2023-01-03,4.40
2023-01-04,4.41
2023-01-05,4.51
2023-01-06,4.51
2023-01-09,4.55
2023-01-10,4.57
2023-01-11,4.57
2023-01-12,4.50
2023-01-13,4.51
2023-01-16,.
2023-01-17,4.56
2023-01-18,4.54
2023-01-19,4.55
2023-01-20,4.57
2023-01-23,4.58
2023-01-24,4.57
2023-01-25,4.56
2023-01-26,4.55
2023-01-27,4.57
2023-01-30,4.59
2023-01-31,4.58
2023-02-01,4.54
2023-02-02,4.53
2023-02-03,4.57
2023-02-06,4.59
2023-02-07,4.59
2023-02-08,4.59
2023-02-09,4.64
2023-02-10,4.66
2023-02-13,4.68
2023-02-14,4.67
2023-02-15,4.66
2023-02-16,4.70
2023-02-17,4.70
2023-02-20,.
2023-02-21,4.72
2023-02-22,4.71
2023-02-23,4.71
2023-02-24,4.72
2023-02-27,4.74
2023-02-28,4.72
2023-03-01,4.73
2023-03-02,4.74
2023-03-03,4.74
2023-03-06,4.76
2023-03-07,4.87
2023-03-08,4.89
2023-03-09,4.87
2023-03-10,4.83
2023-03-13,4.70
2023-03-14,4.71
2023-03-15,4.59
2023-03-16,4.57
2023-03-17,4.36
2023-03-20,4.65
2023-03-21,4.62
2023-03-22,4.63
2023-03-23,4.57
2023-03-24,4.57
2023-03-27,4.75
2023-03-28,4.64
2023-03-29,4.64
2023-03-30,4.80
2023-03-31,4.68
2023-04-03,4.77
2023-04-04,4.74
2023-04-05,4.72
2023-04-06,4.77
2023-04-07,4.81
2023-04-10,4.94
2023-04-11,4.89
2023-04-12,4.87
2023-04-13,4.95
2023-04-14,4.98
2023-04-17,5.06
2023-04-18,5.04
2023-04-19,5.01
2023-04-20,4.97
2023-04-21,4.98
2023-04-24,5.04
2023-04-25,4.97
2023-04-26,5.00
2023-04-27,5.03
2023-04-28,4.95
2023-05-01,5.10
2023-05-02,5.08
2023-05-03,5.09
2023-05-04,5.10
2023-05-05,5.10
2023-05-08,5.15
2023-05-09,5.13
2023-05-10,5.08
2023-05-11,5.04
2023-05-12,5.08
2023-05-15,5.06
2023-05-16,5.07
2023-05-17,5.10
2023-05-18,5.14
2023-05-19,5.12
2023-05-22,5.24
2023-05-23,5.18
2023-05-24,5.21
2023-05-25,5.21
2023-05-26,5.16
2023-05-29,.
2023-05-30,5.28
2023-05-31,5.26
2023-06-01,5.24
2023-06-02,5.23
2023-06-05,5.20
2023-06-06,5.18
2023-06-07,5.16
2023-06-08,5.12
2023-06-09,5.11
2023-06-12,5.14
2023-06-13,5.11
2023-06-14,5.10
2023-06-15,5.07
2023-06-16,5.09
2023-06-19,.
2023-06-20,5.14
2023-06-21,5.15
2023-06-22,5.15
2023-06-23,5.15
2023-06-26,5.24
2023-06-27,5.19
2023-06-28,5.18
2023-06-29,5.20
2023-06-30,5.17
2023-07-03,5.21
2023-07-04,.
2023-07-05,5.21
2023-07-06,5.23
2023-07-07,5.22
2023-07-10,5.25
2023-07-11,5.25
2023-07-12,5.24
2023-07-13,5.24
2023-07-14,5.25
2023-07-17,5.26
2023-07-18,5.25
2023-07-19,5.26
2023-07-20,5.26
2023-07-21,5.27
2023-07-24,5.28
2023-07-25,5.28
2023-07-26,5.28
2023-07-27,5.28
2023-07-28,5.28
2023-07-31,5.28
2023-08-01,5.27
2023-08-02,5.27
2023-08-03,5.27
2023-08-04,5.28
2023-08-07,5.29
2023-08-08,5.30
2023-08-09,5.28
2023-08-10,5.28
2023-08-11,5.28
2023-08-14,5.29
2023-08-15,5.29
2023-08-16,5.29
2023-08-17,5.29
2023-08-18,5.28
2023-08-21,5.30
2023-08-22,5.30
2023-08-23,5.30
2023-08-24,5.31
2023-08-25,5.34
2023-08-28,5.34
2023-08-29,5.33
2023-08-30,5.32
2023-08-31,5.32
2023-09-01,5.30
2023-09-04,.
2023-09-05,5.32
2023-09-06,5.31
2023-09-07,5.30
2023-09-08,5.31
2023-09-11,5.32
2023-09-12,5.32
2023-09-13,5.31
2023-09-14,5.31
2023-09-15,5.32
2023-09-18,5.31
2023-09-19,5.31
2023-09-20,5.33
2023-09-21,5.33
2023-09-22,5.32
2023-09-25,5.35
2023-09-26,5.34
2023-09-27,5.34
2023-09-28,5.32
2023-09-29,5.32
2023-10-02,5.35
2023-10-03,5.35
2023-10-04,5.34
2023-10-05,5.34
2023-10-06,5.36
2023-10-09,.
2023-10-10,5.34
2023-10-11,5.34
2023-10-12,5.35
2023-10-13,5.35
2023-10-16,5.34
2023-10-17,5.35
2023-10-18,5.34
2023-10-19,5.33
2023-10-20,5.31
2023-10-23,5.32
2023-10-24,5.31
2023-10-25,5.32
2023-10-26,5.32
2023-10-27,5.32
2023-10-30,5.33
2023-10-31,5.33
2023-11-01,5.31
2023-11-02,5.28
2023-11-03,5.27
2023-11-06,5.29
2023-11-07,5.28
2023-11-08,5.28
2023-11-09,5.27
2023-11-10,5.26
2023-11-13,5.28
2023-11-14,5.26
2023-11-15,5.26
2023-11-16,5.25
2023-11-17,5.25
2023-11-20,5.27
2023-11-21,5.26
2023-11-22,5.27
2023-11-23,.
2023-11-24,5.28
2023-11-27,5.28
2023-11-28,5.27
2023-11-29,5.25
2023-11-30,5.25
2023-12-01,5.23
2023-12-04,5.26
2023-12-05,5.25
2023-12-06,5.25
2023-12-07,5.24
2023-12-08,5.24
2023-12-11,5.26
2023-12-12,5.26
2023-12-13,5.24
2023-12-14,5.23
2023-12-15,5.24
2023-12-18,5.26
2023-12-19,5.23
2023-12-20,5.24
2023-12-21,5.22
2023-12-22,5.24
2023-12-25,.
2023-12-26,5.25
2023-12-27,5.24
2023-12-28,5.25
2023-12-29,5.20
2024-01-01,.
2024-01-02,5.22
2024-01-03,5.24
2024-01-04,5.24
2024-01-05,5.24
2024-01-08,5.25
2024-01-09,5.24
2024-01-10,5.23
2024-01-11,5.23
2024-01-12,5.22
2024-01-15,.
2024-01-16,5.22
2024-01-17,5.24
2024-01-18,5.22
2024-01-19,5.22
2024-01-22,5.22
2024-01-23,5.21
2024-01-24,5.21
2024-01-25,5.21
2024-01-26,5.21
2024-01-29,5.22
2024-01-30,5.21
2024-01-31,5.22
2024-02-01,5.22
2024-02-02,5.23
2024-02-05,5.22
2024-02-06,5.23
2024-02-07,5.23
2024-02-08,5.23
2024-02-09,5.24
2024-02-12,5.23
2024-02-13,5.25
2024-02-14,5.23
2024-02-15,5.23
2024-02-16,5.24
2024-02-19,.
2024-02-20,5.24
2024-02-21,5.24
2024-02-22,5.25
2024-02-23,5.26
2024-02-26,5.26
2024-02-27,5.25
2024-02-28,5.24
2024-02-29,5.25
2024-03-01,5.23
2024-03-04,5.24
2024-03-05,5.23
2024-03-06,5.24
2024-03-07,5.24
2024-03-08,5.24
2024-03-11,5.24
2024-03-12,5.25
2024-03-13,5.25
2024-03-14,5.25
2024-03-15,5.25
2024-03-18,5.25
2024-03-19,5.24
2024-03-20,5.24
2024-03-21,5.25
2024-03-22,5.24
2024-03-25,5.23
2024-03-26,5.22
2024-03-27,5.22
2024-03-28,5.23
2024-03-29,.
2024-04-01,5.23
2024-04-02,5.22
2024-04-03,5.22
2024-04-04,5.21
2024-04-05,5.23
